Category,Category_Description,Column,Description
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi 25.0-29.9 (overweight),BMI: Percentage of women overweight
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi =30.0 (obese),BMI: Percentage of women obesity
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi number of women,Total number of women
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children under 5 years who are stunted (moderate or severe) (%),Percentage of children below 5 years who are stunted per county
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children under 5 years who are wasted (moderate or severe) (%),Percentage of children below 5 years who are wasted per county
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children under 5 years who are underweight (%),Percentage of children below 5 years who are underweight per county
Nutrition,"The 2014 KDHS measures children?s nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children under 5 years who are overweight or obese (%),Percentage of children below 5 years who are over weight per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",County,Name of the county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Improved sanitation services toilet type_flush to piped sewer system(%),Percentage of households with flush toilet per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Improved sanitation services toilet type_flush to septic tank(%),Percentage of households which use toilet with flush to septic tank per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Improved sanitation services toilet type_composting toilet(%),Percentage of households which use composting toilet per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Improved sanitation services toilet type_flush to pit (latrine)(%),Percentage of households which use latrine toilet per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Improved sanitation services toilet type_ventilated improved pit latrine (vip)(%),Percentage of households with ventilated improved pit latrines per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Improved sanitation services toilet type_pit latrine with slab(%),Percentage of households with pit latrines with slab per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_flush to somewhere else(%),Percentage of households which flush waste to somewhere per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_hanging toilet/hanging latrine(%),Percentage of households which have hanging toilet per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_no facility/bush/field(%),Percentage of households do not have toilet facilities per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_other(%),Percentage of households which have other form of toilet facilities per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_not stated(%),Percentage of households which have not stated form of toilet facilities per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_number of households ('000),Total number of households who reported any form of toilet facility
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_flush to unknown place / not sure/don't know where(%),Percentage of households where they flush to unknown places per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_pit latrine without slab/open pit(%),Percentage of households where they use pit latrine without slab per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Unimproved sanitation services toilet type_bucket toilet(%),Percentage of households which use bucket toilet per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Household sharing toilet_proportion of households with toilet facility(%),Percentage of households with toilet facility per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Household sharing toilet_number of households ('000) A,Number of households sharing toilets facility per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Household sharing toilet_households with toilet facility(shared toilet)(%),Percentage of households with shared toilet facility per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Household sharing toilet_households with toilet facility(not shared)(%),Percentage of households with unshared toilet facility per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Household sharing toilet_households with toilet facility(not stated)(%),Percentage of households with toilet facilities not stated per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Household sharing toilet_number of households ('000) B,Number of households with toilet facilities per county
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_collected by county government(%),Percentage of households whose waste is collected by county government
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_collected by community association(%),Percentage of households whose waste is collected by community association
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_collected by private company(%),Percentage of households whose waste is collected by private company
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_dumped in the compound(%),Percentage of households whose waste is dumped in the compound
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_dumped in the street/vacant plot/drain(%),Percentage of households whose waste is dumped in the street/vacant plot/drain
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_dumped in the latrine(%),Percentage of households whose waste is dumped in the latrine
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_burnt in open(%),Percentage of households whose waste is burned in the open
