ID,County,Value chain,Value chain stage,Hazard,Severity,Consequences,Ongoing adaptations,Potential adaptations
386,Kiambu,Cattle (milk),Post harvest,Excess rainfall,Minor-Moderate,"Impacted silage processing, increased milk spoilage during transportation and bulking, rejection of milk from small-scale producers in remote areas due to excessive supply","Installation of coolers and training on milk handling, installation of coolers and milk pasteurizers, home based milk preservation incase of delayed milk collection","Use of butter fat content in pricing, installation of extended shelf life plants, electronic recording and transmission of milk deliveries to the collectors"
387,Kiambu,Cattle (milk),Post harvest,Dry spell,Moderate,"Increased spoilage from high temperatures and dust, low processing amounts, elevated costs of bulking and collection","Installation of coolers to reduce spoilage, training on milk handling techniques, installation of coolers and pasteurizers in collection centers and processing facilities,  use of refrigerated trucks","Use of on farm milk testing kit, establishment of a milk processing plant that would increase the milk shelf life, electronic recording and transmission of milk deliveries to the collectors"
388,Kiambu,Irish Potatoes,Input supply,Floods,Major-Severe,"Inaccessible certified seeds, low yields, untimely delivery of inputs, low production","Most farmers recycle seeds from their old stock, no fertilizers and pesticides application and using farmyard manure as an alternative, farmers create storm water drainages","Establishment of seed incubation centers, improvement of infrastructure e.g. good roads, ensuring local availability of inputs, construction of water pans, training farmers on sustainable land management practices (SLM) and soil harvesting"
389,Kiambu,Irish Potatoes,Input supply,Dry spell,Minor-Moderate,"Delayed acquisition of certified seeds and crop management, delayed acquisition of fertilizers and pesticides","Purchase of seeds in the local market, farmers opt to use farmyard manure and spraying rabbit urine, waiting for rainy season","Farmers should practice water harvesting, construction/improvement of seed storage that would ensure good sprout, upscaling the use of indigenous knowledge(e.g use of rabbit urine), promote rainwater harvesting, practice irrigation, construction of water pans and promoting agro-forestry"
390,Kiambu,Irish Potatoes,Market,Floods,Moderate-Major,"Mechanical damage leading to poor quality and low prices, inflated or exaggerated profit margins","Farmers using donkey driven carts and motorcycles, farmers selling at farm gate prices, changing mode of transport from donkey carts and motorcycles to less expensive tractors ","Standardization of prices, improve road infrastructure, improve packaging, and mobilize farmers to join cooperatives for collective marketing, consumer lobby groups to advocate for fair prices as per Consumer Protection Act, collective marketing to explore economies of scale from reduced transport costs"
391,Kiambu,Irish Potatoes,Market,Dry spell,Minor-Major,"Increased buyer access to markets, economic losses due to long storage periods","Farmers sell at farm gate, large processors have cold storage while small processors sell without washing, consumers buy directly from producers","Promoting collective marketing and construction of storage facilities, government should create conducive enviroment e.g reducing cost of electricity, promotion of renewable energy, promote aggregation at the collection centers (where buyers and sellers meet)"
392,Kiambu,Irish Potatoes,On farm,Floods,Moderate-Major,"Delay in land preparation, destroyed crops and leaching","Farmers wait for water to drain before land preparations, constructing or improving drainage channels ","Establishment of storm water drainages prior to rainy seasons, intensive awareness creation on sustainable land management practices and use of weather reports, sensitization on climate change and adaptation measures, collaborative partnership to enhance capacity building to farmers in promoting sustainable land management practices"
393,Kiambu,Irish Potatoes,On farm,Dry spell,Moderate-Major,"Delayed farming practices, increased pest and diseases pressure that lead to economic loss","Indvidual farmers carry out land preparation so it takes time and is labour intensive, farmers use rabbit urine spray, farmers start dehaulming the potatoes","Promoting conservation agriculture, building soil structure by manure application, promote indigenous knowledge, farmers sentization not to dehaulm"
394,Kiambu,Irish Potatoes,Post harvest,Floods,Minor-Major,"Delayed sorting and grading, delayed transportation of potatoes to market","Packing potatoes without grading and sorting, selling at farm-gate, continous and constant sorting to remove rotten pototoes","Capacity building on potato storage to preserve quality, establishment of community storage facilities by cooperatives, improve road infrastructure and provision of storage facilities, ensure dehaulming is done before harvesting, ensure the foliage drys before harvest"
395,Kiambu,Irish Potatoes,Post harvest,Dry spell,Moderate,"Economic gains due to reduced crop losses, less labor-intensive conditions, lower transportation costs, and avoidance of rotting","Use of casual labour to continue sorting and grading, individual farmers transport their produce to market, aggregation happens at the farm gate","Promote use of grader which reduces costs, collective marketing to explore economies of scale, encourage farmers to form cooperatives that utilizes economies of scale, establishing collection centers"
396,Kiambu,Local chicken,Input supply,Floods,Severe,"Housing require raised foundations and waterproof thus increasing housing cost, flooding leads to delayed feed supply due to poor road networks thus increasing feeding cost","Construct wood and iron cages which require reconstruction frequently, use of motorbicycles to supply feeds which is a challenge, making furrows for run-off water","Formation of permanent cages that can last for long periods thus reducing startup costs, purchase of feeds before onset of rains, construction of raised structures with good drainage"
397,Kiambu,Local chicken,Input supply,Heat stress,Major-Severe,"Increased housing and feed costs, increased need for capital","Use of ventilation, use of self-milled feeds","Installation of mechanized cooling system, bulking of feeds for storage at household level, purchase of mechanical ventilators to last for a long period"
398,Kiambu,Local chicken,Market,Floods,Minor-Severe,"Decreased supply, increased prices, loss of buyers","Individual selling, bargaining on price ","Uniting farmers so that they can access the market using one means of transportation during flooding, government intervention to introduce policy to regulate prices "
399,Kiambu,Local chicken,Market,Heat stress,Minor-Moderate,"Lowered production, increased cost of chicken","Individual selling, which affects prices",Formation of cooperatives to ensure a steady supply to the market
400,Kiambu,Local chicken,On farm,Floods,Moderate-Major,"Feed rationing due to poor road networks that delay feed supply, increase in cost of hatchering since good structures are required to withstand flooding","Feeds rationing, poultry rearing in small scale and relying on natural breeding, use of vets at an individual level","Bulking of feeds, need mechanical brooding to curb the cold during flooding, formation of cooperatives to lower the cost of veterinary services"
401,Kiambu,Local chicken,On farm,Heat stress,Minor-Moderate,"Decreased productivity, lower brooding costs, improved health status of poultry","Giving more water to the flock to complement the feeds, natural brooding ","Feeding the birds with vegetables e.g kales, mechanized heat regulation for brooding, veterinary inspection during heat stress"
402,Kiambu,Local chicken,Post harvest,Floods,Minor-Major,Delayed collection since some roads are inaccessible during flooding ,"Use of a free-range storage in an open room (whole chickens), use of trays for eggs, use of motorcycles for transport","Adapting to battery cages for easy collection of eggs even during floods, good drainage around the storage room and air regulator to increase warmth, request for good infrastructure for better accessibility in rural areas"
403,Kiambu,Local chicken,Post harvest,Heat stress,Minor-Moderate,"Prolonged collection period, increased difficulty with transportation","Collection at household level rather than collection centers, use of open rooms with shades, transportation on motorcycles ","Improved collection at the household level to prevent breakage of eggs and early brooding, improved cage systems to prevent overcrowding and preserve biosafety, installation of well-ventilated structures on motorcycles and pick-up vans"
380,Kilifi,Dairy cow/ goat,On farm,Droughts,Severe,"Loss of pasture/fodder, loss of animal/breedy stock, increased costs of routine practices, high costs of feed, loss of breedy stock","Use of cattle feeding regime, growing of drought tolerant fodder, harvesting and conserving pastures, feed supplementation, use of crop residues for feeds, access to advisories from early warning systems","Selection of efficient feed converting animals (breeding herd), access to livestock insurance schemes(cushion loss of livestock at household), training on enterprise diversification(cereal production/poultry keeping), construction of hay storage structures, proper demarcation of grazing land  "
381,Kilifi,Dairy cow/ goat,On farm,Floods,Severe,"Loss of pasture/fodder leading to malnutrition, low breeding success rate, increased pests and disease incidences, increased animal production costs(feeding, deworming), high mortality rates","Harvesting flood waters, construction of on farm drainage structures(tunnels, furrows) for pasture establishment, synchronized cattle breeding, increased drugs and vaccines use, increased production costs(housing, breeding, feeding)","Harness flood waters, animal insurance schemes, access to alternative feed supplements(crops biomass), access to improved/modern vaccines"
382,Kilifi,Cassava,On farm,Floods,Severe,"Water logging, delay in planting calendar","Terracing and furrows, formation of women groups to provide pooled labour, intercropping, crop rotation, enterprise diversification","Construction of dams to control floods, upscale of household/community tuber planting(increase acreage), awareness campaigns on crops importance to food security  "
383,Kilifi,Dairy cow/ goat,Post harvest,Floods,Major,"Poor milking regimes(inaccessibilty to milking pens), poor milk storage due to damaged storage structures, milk storage in metal and plastic cans","Low quantity and reduced milk quality, poor storage facilities leading to milk contamination, store milk in cans and plastic containers, mik for household consumption","Micro storage plants, construction of bridges, capacity building on proper husbandry practices while milking "
384,Kilifi,Cassava,Market,Droughts,Severe,"Increased prices, reduced market activities, inconsistency in supply linking farmers to potential buyers","Low quantity and quality of marketed tubers, improve and strengthen market information on markets and prices, formation of processing groups ","Formation of producer groups(facilitates market pricing and marketing activities), establishment of collection and storage centres to stabilize prices "
385,Kilifi,Dairy cow/ goat,Input supply,Floods,Moderate,"High incidences of animal diseases, low fodder productivity, increased demand for extension and vet services ","Mass vaccines prior to expect floods, training and awareness, creation of ways of coping, conserve and store fodder and pasture, water harvesting(flood water harvesting for fodder production)  ","County support in introduction of new water harvesting structures(dykes, canals), use of cost effective oil based vaccines, provision of dairy input as relief, access to  improved animal breed varieties, mechanization of fodder conservation, and construction of mega purpose dams, improved access to extension services"
386,Kilifi,Cassava,On farm,Droughts,Severe,"Soil degradation(hardening of sandy/loamy soils), delayed planting, drying of planting material, increased labor costs, poor stand establishment and poor crop vigour, increased incidences of pests","Early land preparation, early/staggered planting, planting clean and certified tubers, use of ash(prevents ants), tree planting for providing shade, intercropping, crop rotation, mulching(with crop residues), water harvesting and storage, mapping soils for suitability of growing cassava","Use of soil rippers(break hardpans), enterprise diversification(to grow other crops), access to affordable pesticides/insecticides, promote water conservation structures(dams/pans)"
387,Kilifi,Dairy cow/ goat,Post harvest,Droughts,Severe,"Depleted food stocks, high maintenance, increased milk and meat contamination(dust/dirt), increased cost of milk storage and packaging, milk spoilage and shrt shelf life","Transportation through refigerated tanks, processing into fermented milk, charcoal cooling for milk storage, construction/location of storage cooling facility under shade tree, water bath storage, reconstitution of powder milk ","Interest in renewable sources of energy (cheaper), direct sales to minimize storage costs, construction of community operated milk processing plants, increased processing of value added products(milk powder) "
388,Kilifi,Dairy cow/ goat,Market,Droughts,NA,"Increased consumer prices, increased cost of packaging material, high costs in distribution increased consumer price, increase costs of transport, increased cost of distribution","Milk scarcity and increased demand, external milk imports(local traders/processors), market price exploitation due to poor milk quality, reduced market and marketing opportunities ",Dairy farmer groups(for milk pricing)
389,Kilifi,African Bird eye chilli,Post harvest,Floods,Severe,"Poor quality of harvested chillies, increased storage durations(collection hampered by lack of access to farms), increased labor (sorting and grading)","Use of bad quality chilli as poultry medicine, disposal of rotting chillis, use of family labor for sorting and grading, crop abandonment in case of severe crop failure, use of chilli solar driers","Offering IPM technologies(pest and disease control), capacity building on chilli value addition technologies(as poultry drugs), access to improved storage materials(canvas and wooden crates)"
390,Kilifi,African Bird eye chilli,Post harvest,Droughts,Major,"Poor quality and quantity of harvested produce, increased labor needs for sorting and grading, increased incidence of pests(weevils), loss of flavor(overdrying)","Use of manual(household) labor for sorting and grading, construction of drying and storage sheds, storage in gunny bags and traditional sisal vessels(reduce loss of flavor)","Improved access to storage facilities, farmer capacity building on best practices for chilli storage to prevent loss of flavour"
391,Kilifi,Cassava,Input supply,Floods,Severe,"Lack of access to clean and improved planting cuttings, water logging, erosion, leaching, cassava cuttings: rotting, eroded","Use of local/traditional root varieties, use of traditional pest control inputs e.g. ash","Local seed bulking, germplasm maintenance"
392,Kilifi,Cassava,Input supply,Droughts,Severe,"Drying of planting materials, scarce labour and increased labour costs","Recycling of planting materials or cuttings, pooled labour, access to inputs(seed, fertilizer and extension services) through development/aid agencies, farmer grouping (facilitate access to inputs/extension services)","New drought and pest tolerant tuber varieties, local root nurseries, conservation of cassava germplasm"
393,Kilifi,Poultry,Input supply,Floods,Major,"Quality of feeds deteriorates/goes bad, scarcity of feeds, more use of vaccines/drugs, high cost of maintainance ",Use of alternative feed supplements(kitchen waste/ horticultural afterharvest products),"Capacity building on alternative feed sources, feed formulation, feed conservation, provision of improved chicken breeds/crossbreeds"
394,Kilifi,Poultry,Input supply,Droughts,Moderate,"High maintenance costs, increased feed prices due to feed scarcity, more use of drugs/vaccines due to high prevalence of diseases","Use of feed supplements, enhanced irrigation to grow crops which provide feeds, use drought tolerant crops, use of thermo stable vaccines, allow birds to scavenge for food, farmer grouping to allow access to inputs/ extension services ","Capacity builing on alternative feed sources/supplementation using local available materials, research on alternative vaccines like traditional herbs, use of modern poultry vaccines(support by the county), provide improved chicken breeds  "
395,Kilifi,Poultry,Market,Floods,Severe,"Reduced volumes of birds to sell, high poultry products demand and low market supply, poor infrastructure for transportation(drainage and roads) to market","Low market prices(by farmers), high poultry products demand and low market supply, poor transportation(contamination by misture/dirt)","Formation of cooperatives within the region to facilitate marketing, introduction of poultry off-take programs(government supported mass chicken sale), country support to explore external markets, establishment of specific local chicken auctions"
396,Kilifi,Cassava,Post harvest,Floods,Severe,"Minimal or no harvest, low quality cassava due rotting and improper drying storage:afflatoxins","Farm gate sale of roots, use of roots as livestock feed, post harvest value addittion(drying to reduce perishability) ","Community storage centres, traditional household post harvest value addition and conservation practices(flour making)"
397,Kilifi,Cassava,Post harvest,Droughts,Severe,"Poor quality and reduced quantity of harvested roots, increased incidence of storage pests, drying of stored roots","Use of household labour for harvesting, use of cereal stores, divert root harvest to household consumption, sale of root at farm gate to avoid storage","Community storage centres, traditional household post harvest value addition and conservation practices(flour making)"
398,Kilifi,Poultry,On farm,Droughts,Moderate,"Reduction in immune system strength, increased use of vaccines/drugs, reduced feeding due to high cost of feeds, increased water intake, high mortality rate","Water harvesting and conservation practice to establish poultry feeds, regular poultry vaccination, free foraging flocks, access to advisories from early warning systems, enterprise diversification(fishing/employment)","Insuring poultry against drought risks, promotion/upscale of water harvesting, enforcement of disease control measure during outbreaks, improved access to extension services   "
399,Kilifi,Dairy cow/ goat,Input supply,Droughts,Severe,"High costs on veterinary service, high incidences of diseases and pests, loss of fodder/pasture, unavailability of breeding stock","Putting up shelter (shade trees, animal shade), growing grass/napier under tree canopy, delivery of water through water boursers, water pans, use of water retention technique e.g Zai pits, fodder purchase locally or externally, rearing drought resistant animal breeds, cross breeding ","Fodder bulking, reseeding of natural pastoral lands, use of hydroponics to grow animal feeds, increase artificial insemination services"
400,Kilifi,Dairy cow/ goat,Market,Floods,Severe-Major,"Increased price of consumer price, reduced market activity(inaccesibility of roads), milk scarcity on the market and increased demand","External milk imports by traders and processors, reduced market and marketing opportunities",Formation and support of dairy farmer groups/cooperatives(marketing and milk pricing activities)
401,Kilifi,Poultry,Post harvest,Floods,Moderate,"Reduced meat quality and low weight of poultry products, poor storage facilities","Household slaughter/dressing of poultry carcasses, meat storage(polythene bags), manual labour(slaughtering)","Provision of improved meat storage structures(moisture free and cold storage), government support to access small scale refrigerators, community access to modern slaughter equipment, farmer training on chicken poultry standards(feeding, slaughter, storage)"
402,Kilifi,Poultry,Post harvest,Droughts,Moderate,"Low quantity and reduced meat quality, low egg production, poor storage facilities, reduced weight, spoilage of bird carcasses","Household slaughter/dressing of poultry carcasses, meat storage(polythene bags/hanging above ground), manual labour(slaughtering/searching for layed eggs)",Provision of impoved meat storage structures(cold rooms)
403,Kilifi,African Bird eye chilli,On farm,Droughts,Major,"Low seed germination, poor stand establishment, loss of plant vigor, loss of soil quality(hardening), increased labor needs, wilting/drying of planted crop","Replanting/staggered planting, mulching(cereal crop residues), drip irrigation after establishment, crop rotation, planting trees(shade/windbreak), enterprise diversification(poultry/cereal production), integrated pests management(pest control kits from ICIPE), intercropping(mangoes and pawpaw), sunken beds, water holes for water harvesting","Widespread access and use of drip irrigation kits, research on improved crop rotation practices, IPM practices, continued support from research agents(for pest control and management)"
404,Kilifi,African Bird eye chilli,Input supply,Droughts,Major,"Increased nursery seed loss, labor scarcity, lack of water","Use of drip irrigation kits, growing seeds in nurseries(before transplanting), pooled labor through farmer groups, acess to inputs(pest and disease control), use of traditional pest control(herb sprays), farmers to dry their own chillies to get seeds rather than being given free of charge","Research to improve drought tolerance, access to modern pesticides, access to greenhouses(materials and structures), access to irrigation equipment, access to extension services"
405,Kilifi,Poultry,Market,Droughts,Moderate,"Low prices of live birds, reduced volumes of birds for sale, high transport cost, live birds die due to dust and heat stress",Divertion of chicken products for household consumption,"Formation of poultry producer cooperatives(facilitate marketing), introduction of poultry off take programs(government supported mass chicken sale) "
406,Kilifi,Cassava,Market,Floods,Severe-Moderate,"Increased root demand and low supply, flooded markets leading to less marketing activities, increased market prices ","Low quantity and quality of marketed roots, low market prices, reduced marketing activities by traders, market scarcity leading to abandonment",Formation of producer groups(facilitates market pricing and marketing activities) 
407,Kilifi,African Bird eye chilli,Input supply,Floods,Severe,"Increased incidence for seed loss at nursery stage(rotting, wiping away), scarcity of labour and inputs(access challenges due to damaged roads)","Pooled labour(formation of women groups to provide cheap labour), establish farmer owned nurseries, use of pesticides/insecticides","Research on moisture tolerant chilli varieties, county support in giving input aid during floods, offering access to extension services "
408,Kilifi,African Bird eye chilli,Market,Floods,Severe,"Low market prices(low quality chillis), loss of markets/marketing opportunities, shift in market focus","Low market prices, farm gate sales to avoid storage expenses, sale to local markets(traders, hotels, institutions)","Formation of farmer groups(facilitate contracting), contracted farming(supporting producers in input provision/storage/negotiated prices)"
409,Kilifi,Poultry,On farm,Floods,Major,"Increased incidence of disease outbreaks, elevated use of vaccines/drugs, high maintenance of poultry houses, poor growth rates, high mortality rate ","Use of modern and traditional drugs for disease control, mass vaccinations in disease outbreaks ","Enforcement of vaccination(disease outbreaks), enterprise diversification(to crop farming/employment)"
410,Kilifi,African Bird eye chilli,On farm,Floods,Severe,"Water logging of seedlings at planting, deteriorated soil quality(poor germination/seed rotting), loss of applied inputs(fertilizers/chemicals), low stand establishment, loss of crop vigour, increased disease incidence","Construction of raised seed beds, use of green houses, construction of water drainage controls(terraces, canals, furrows), use of chemicals for pests and disease control, enterprise diversification(to horticulture/banana farming), intercropping with cereals and tuber crops","County support in introduction of new water harvesting structures(dams, canals), use of improved pesticides/insecticides, training on enterprise diversification(poultry keeping/business) "
411,Kilifi,African Bird eye chilli,Market,Droughts,Severe,"Reduced market supply(high demand), increased market prices","Sale to local markets, produce offered free of charge to neighbors/friends","Producer groups(facilitating production, pricing, marketing), contract farming with market buyers, support in external market access"
436,Kirinyaga,Avocado,Input supply,Heavy rainfall,Severe,"Poor accesibility to information, damage on road infrastructure affects flow of required agronomical information due to inaccesible farms, poor accessibility to the nurseries- affected road networks poses a challenge to access the centralized nursery system, poor accessibility of organic and inorganic fertilizers due to impassable road networks, obstacles to transportation and technical support services","Use of broadcast, print and digital machines (radio shows, WhatsaApp), use of animal transport and small transport machine like motrocycles, tuk tuk, farmers practising mixed farming (avocado and animal rearing) to produce organic manure on site","The avocado cooperative to have an inhouse agronomist to advise on recommended seedlings, fertilizers and agrochemicals, the cooperative society and its members will be empowered to own certified avacado nurseries, the cooperative society may procure fertilizer in bulk and distribute to farmers"
437,Kirinyaga,Avocado,Input supply,Dry spell,Minor-Major,"Greater access to information by farmers, diminished quality and inadequate supply of seedlings, low volumes of business due to unwillingness of farmers to plant during dry spells","Use of farmers' barazas to avoid overcrowding, partnering/sourcing seedlings from certified nurseries, use of crude method of irrigation e.g watering cans","Digitization of extension services, train farmers on the production of certified high qualified seedlings of recommended variety, install irrigation systems at the avocado nursery, farmers install drip irrigation systems to provide supplementary water during dry seasons"
438,Kirinyaga,Avocado,Market,Heavy rainfall,Severe,"Emergence of middlemen due to poor farmer-buyer linkages, low prices due to perishability of the produce with uncertain market resulting to desparate disposal of avocadoes, hindered promotion services as trade relations suffer strain from unmet contractual obligations","Selling to licensed exporters, partnering with the licensed exporters for stable prices/reliable markets, partnering with the licenced exporters for consistent market access","The avocado cooperative society to have their own packhouse and direct market channel to the international market, value addititon of avocado e.g processing extraction of avocado oil, digitalization of promotion of services"
439,Kirinyaga,Avocado,Market,Dry spell,Moderate-Major,"Loss of market due to low quality and quantity, loss of business trust and confidence, low supply will lead to high prices","Produce sold as animals feeds such as for pig farming, contractual farming for stable pricing, focus on the local market which has less strigent marketing requirements","Capacity building of the cooperative society to enhance quality control, value addition e.g reduce losses resulting form poor quality fruits, expand the area under avocado production by implementing water harvesting and irrigation techniques so as to enhance the supply of fruits during the day season, research and development to come up with the most suitable avocado variety for the growing area and as per the market tastes and preference"
440,Kirinyaga,Avocado,On farm,Heavy rainfall,Major-Severe,"Poor workability of the farms,  delayed or displaced harvesting heavily affected by heavy rainfall ","Farmers engaging on sustainable land management on drainage to improve soil workability, crude timing of the varying season to plant before rains, crude timing of harvest time when not raining","Use of mechanization e.g hand held soil augers, use of  mechanization to enable farmers to plant even during harsh weather, mechanization of harvesting activities, use of protective clothing to guard against harsh weather"
441,Kirinyaga,Avocado,On farm,Dry spell,Major-Severe,"Land preparation operations decreases due to uncertain rains, no planting, low volumes of avocados produced","Rotational farming with drought resistant crops to perservere the harsh climate conditions, diversification of crops to bridge the gap during dry season","To ensure certainity of planting water harvesting and irrigation techniques may be harnessed such that land preparation may access water harvesting and installation of irrigation system may optimize planting operation, expand the area under avocado production, install irrigation and water harvesting systems to increase volumes of fruits during harvesting"
442,Kirinyaga,Avocado,Post harvest,Heavy rainfall,Major-Severe,"inaccessible farms due to damaged road infrastructure, low volumes leading to loss of business, delayed delivery due to adversely affected infrastructure","Use of locally non-motorized transport (animal carts e.t.c), forming farmers cooperatives to aggregate produce, exploration of the local market","Mechanization to access farms, scaling- up the area under avocado production, use of all weather means of transport such as rail transport, air transport"
443,Kirinyaga,Avocado,Post harvest,Dry spell,Minor-Severe,"Low volume of fruit collected, low volumes hence low productivity and poor quality, business losses due to low volume","Use of low capacity transportation means, e.g from a lorry to a pickup, exploring the local market due to low volume, quality and quantity, diversification of crops to cover harsh conditions","Expand area under avocado production while implementing water harvesting and irrigation techniques so as to increase fruit volumes collected and actualize avocado planting even during the dry season, thus transport business will continue"
444,Kirinyaga,Banana,Input supply,Excess rainfall,Moderate-Major,"Organic/inorganic fertilizer- leaching, workability, loss of value, poor attendance and timelines of extension messages","Improving drainage to reduce leaching, composting, nursery harvesting, use of fodder strips comprised of brachiaria grass, careful and appropriate timing of field operations","Leaching- plant deep rooted to enable recycling of lost nutrients, nitrogen fixing plant incorporated, collective input procurement, soil testing kits, poor attendance, use of mass media and IT technology, field workability- promote mechanization of field operations, use of weather forecasts to pre determine activities"
445,Kirinyaga,Banana,Input supply,Dry spell,Minor-Major,"Delayed application, low demand, more audience available, delayed order of inputs","Delayed use of inputs, low demand to agrodealers, stocking levels is sychronized to demand, alternative products i.e foliar fertilizer, offer prices, low demand for planting materials, use of irrigation to cope with planting need, support use of hardening nurseries, delayed order for inputs- agro stockist delay order from suppliers, stocking level reduce, agrodealer association","Delayed use of inputs, low demand by producer, offer promotional pricing, agrodealers to seek weather forecast before stocking for a season, low demand for planting materials, establish hardening nurseries in every subcounty, delayed order for inputs- mobilize agrodealers to work with producers and jointly, use weather forecast information"
446,Kirinyaga,Banana,Market,Excess rainfall,Minor-Severe,"Less opportunity due to low audience, delayed linkage, low access to markets","Loss of opportunity- low volumes demanded, step up value addition process, explore other markets i.e linkages, Delayed market linkage, loss of market access , lobbying of more market outlets, promotion of banana produce, contractual marketing, Loss of sale, post harvest losses, competitor produce in the market, promote banana and its products for consumer, diversify consumption forum, enact policy aganist waste","Loss of opportunity - low volume demanded, ecourage contractual engagements for producer and buyers, use of IT and market information on media, Delayed market linkage, loss of market access, contractual marketing, step up value addition at large scale (industrial), Loss of sales, post harvest losses, competitive produce in the market, contractual marketing, support policies that will favour marketing produce, explore external markets, mobilize producer into groups/cooperatives"
447,Kirinyaga,Banana,Market,Dry spell,Minor-Severe,"Timely promotion, more produce demand, Increased linkage to market, produce demand on the increase, loss quality requirements","Due to shortage there is more demand than supply- market agreements to protect the produce procurer, Agreements and linkages to suppliers, Linkages to best offers despite the low volumes are sought","Marketing model to synchronize the quality and quantity of produce demanded, to remain in market fixed terms on TOR should prevail any season, to benefit producer export market should be exploited"
448,Kirinyaga,Banana,On farm,Excess rainfall,Moderate-Severe,"Hard soil pans, increased costs, leaching, loss of value, ineffective uptake of extension information and services, delayed harvests, low crop productivity, post-harvest infections","Delayed farm operation, timely farm preparation before rain onset, use of zero tillage to reduce hard pan, quick weed developed, use of herbicides, mulching, low banana production, pest and disease build up, establish appropriate cultivars, good crop husbandry practices","Promote farm mechanization, chemical weeding, timely use of weather forecast, promote tissue culture bananas, use of appropriate cultivars- disease resistant"
449,Kirinyaga,Banana,On farm,Dry spell,Minor-Severe,"Effective operation capacity readily available, delayed fertilizer application, poor uptake, soil caking, soil dehydration, delayed maturation, low production, poor-quality bananas","Effective farm operation, dust blowing wind affect banana quality, dehydration of the banana fruit, bagging of banana, Delayed organic/inorgainic fertilizer use- use of irrigation to facilitate use of manure and fertilizer, Delayed crop maturation, poor quality bunches, low production- irrigation from water harvest sources, mulching, desuckering if appropriate","Blowing of dust by wind, establish wind cover trees around crop field, explore use of fertigate in fertilizer application and drip irrigation for effective fertilizer uptake to new crop, solar irrigation, drip irrigation, solar powered irrigation"
450,Kirinyaga,Banana,Post harvest,Excess rainfall,Moderate,"Inaccessible roads, produce affected, spoiled quality, delayed delivery, delayed processing, high cost due to drying, delayed ripening due to high humidity and deteriorated quality, reduced consumption as other competitive products gain an advantage","Inaccessible roads, quality of produce due to soiling, use of motor bikes and ox carts, use of plant packaging material, use of solar driers, hygiene harvest practice, ripen fully matured bananas, use of ripening chambers","Lobbying of better roads by producer associations, promote post harvest practices for healthy producer, fibre extraction, sychronize product demand to processing capacity, diversify value added products, use of ethylene to enhance ripening"
451,Kirinyaga,Banana,Post harvest,Dry spell,Minor,"Effective transportation, sunscorching, timely delivery, favourable weather, less cost for drying, timely processing, reduced access to produce for ripening, lower quality produce","Bagging, use of plant-based packaging materials, controlling temperatures through ripening rooms with adjustable ventilators, forming and mobilizing","Establishment of shaded collection centers in marketing, introduction of reusable packing material, creation of investment policies, innovation assisted by the Kenya Industrial Research and Development Institute (KIRDI) to design a controlled ripening chamber, proper timing of the harvest regime to meet the transport and market threshold"
452,Kirinyaga,Cattle (milk),Input supply,Low temperatures,Minor,"Shortage of fodder, low temperature affect growth of fodder, reduced business- AI services, few animals coming on heat","Fodder conservation, planting low temperature tolerant fodder e.g brachiaria grass, total adaptation of zero grazing and fodder conservation, proper housing, hygiene and feeding of dairy animal","Strengthen producer organizations to source fodder in bulk to reduce operational cost, planting fodder in large scale e.g South Ngariama, capacity build the farmers on heat detection and animal nutrition, technology for heat detection, government subsidy on veterinary services"
453,Kirinyaga,Cattle (milk),Input supply,Dry spell,Minor,"No fodder for dairy animals, Low demand for artificial insemination","Planting of drought resistant fodder, fodder conservation, Improvement on animal nutrition, Sourcing for feeds from other areas","Use of irrigation in fodder production, Producer organizations to train farmers on heat dectection and nutrition, Government subsidy on vet services, producer organizations subsidy"
454,Kirinyaga,Cattle (milk),Market,Low temperatures,Moderate,"Scarcity of milk due to decrease in milk production, Low turnout- few people attending various forums due to low temperatures","Sourcing milk from other counties, use of brochures to reach the public, linkages through social media","MOU  with neighbouring counties on processing, Promote milk consumption in schools, adveritise widely in all modes, Intensify use of social media to reach farmers"
455,Kirinyaga,Cattle (milk),Market,Dry spell,Moderate,"High input on sustainability and low turn over, no motivation for promoters, no finances to fund promotional  activities","Sourcing milk from other counties, use of other mode of communication e.g social media, expand linkages through social media","Sourcing milk from other counties, Promote milk consumption in schools, Intensify use of social media"
456,Kirinyaga,Cattle (milk),On farm,Low temperatures,Moderate,"Low growth rate of fodder at the farm, decreased milk production, high operational costs- dairy animals feed a lot to keep/maintain warmth","Fodder conservation and planting, low temperature torelant fodder e.g bracharia, On farm feed formulation, Good housing, hygiene and feeding of dairy animal","Promote uptake of growing bracharia grass by every dairy farmer, County government feed factory to ensure quality feed and dispense at affordable price, Producer organization to provide subsidy to its members on veterinary services, Government subsidy on veterinary services"
457,Kirinyaga,Cattle (milk),On farm,Dry spell,Moderate,"Scarcity of fodder- due to drought and no feed to conserve, Inadequate fodder for the dairy animal","Farmers conservation e.g ensiling, sourcing fodder, planting drought resistant fodder, trees and grass, Sourcing alternative feeds e.g rice bran, On farm feed formulation, Proper nutrition for the dairy animal","Irrigation to produce fodder, Intensify brachiaria production, government subsidy on feed produced by government- Kiaga, Government subsidy on veterinary services"
