ID,County,Value chain,Value chain stage,Key activities,Who is involved,Input supply (key activities importance),Input supply (key activities location in the country)
227,West Pokot,Cattle (milk),Input supply,Breeding,"CDVS,CDLP, farmers organisation,private practioners",For improved production,"Kapenguria,Lelan,Tapach"
228,West Pokot,Bulb onions,Input supply,Fertilizer,"Local stockist, farmyard manure,cereal board","Input supplies,soil fertility improvement","Kapenguria,ortum,homesteads and neighbours"
229,Kwale,Local Poultry (meat),Input supply,Vet services,"Farmers,veterinary officers, livestock officers,agro stockists","Disease control management,quality control hygiene","Household level,incubation centres"
230,Kwale,Maize,Input supply,Seed,"Farmer,seed companies,agro vets,county government(extension services)",To ensure that good production is realized through good quality seeds and timelines of seed planted at the right time,In every ward
231,Kwale,Goat (meat),Input supply,Housing,The head of the household,"Protection from theft and predators, for good health",The whole county(mainly in kinango sub county)
232,Kwale,Cowpeas,Input supply,Land,Local community/farmers,"Can do without fertilizer, availability of the land(intercropping)-maize,cassava, cashewnuts",Countywide
233,Tana River,Mango,Input supply,Labour,"Individual farmers, hired labor",On farm and off farm activities,Household Level
234,Tana River,Maize,Input supply,Fertilizer/manure,"Stockists, NCPB, Farmers",Increase productivity,"All farming areas, Bura,Hola,Garsen,Kipini"
235,Tana River,Green grams,Input supply,Pesticides,"Agrovets, NGOs, SP(samaritans purse), county government, GAA only to school","Pesticides are very important, input due to prevalence of pests and diseases","Township, agrovet vendors,samaritans has offices in ola and operates in several location in the county"
236,Tana River,Goat (meat),Input supply,Veterinary services,"Department of veterinary services, NDMA(Special programmes) KEVIVAP","Disease control and treatment hence increasing productivity, diseases surveillance","Countrywide, farm level, inter county"
237,Kilifi,Poultry,Input supply,Vaccines drugs,"Agrovets, department of vet services, private services,private vets, farmer",For disease control since the birds are highly susceptible to diseases,Major trading centres across the subcounties
238,Kilifi,Dairy cow/ goat,Input supply,Feed/fodder,"Farmer,agrovets",Improves production/income,"Farm level,Local shops"
239,Kilifi,Cassava,Input supply,Purchase of Cassava cuttings,"Farmer,KALRO,County government, CAST (donors),CBOs",Factors of production,"Within county,KARLO,"
240,Kilifi,African Bird eye chilli,Input supply,Fertilizer,"Agrodealers/manufacturers,the farmers buy from equator kenya,the farmers buy from the nearest agro dealers",Provides good crop yields/vigour which will in turn provide maximum production for better income to the small scale farmer,"Athi river mining with stockist at Equator Kenya limited malindi, agro dealers in Kilifi, shifa farm chemicals abd coast farm care"
241,Baringo,Dairy cow,Input supply,Feeds,Private/county government,Improve dairy production,Most affected areas by drought given by county government other areas private provision
242,Baringo,Maize,Input supply,"Sourcing, supply of agriculture inputs","NCPB, Agrovets, Seed companies",Ensure timely delivery of inputs for maximum production. Ensure farmers get right quality inputs,"Countywide/agrovets, NCPB(Kabarnet,Marigat, Eldama ravine, tennes"
243,Baringo,Goat (meat),Input supply,Vet services,Vetrinary officers and private practitioners,Control of diseases and reducing mortality rates,"Veterinary officers in Mogotio, Emining, Marigat, Chemolingot, Arebal"
244,Baringo,Indigenous chicken,Input supply,Infrastructure,"Farmer, material and equipment suppliers, extension staff","Security, shelter, enhanced production",Household level
245,Bomet,Banana,Input supply,Acquisition of fertilizer,"Farmers, agrovet stores",To increase yield and quality of harvest and also proper establishment of the crop,"Farm input supplies in all towns within the county, Farm level-organic manure"
246,Bomet,Irish Potatoes,Input supply,Certified seed selection and acquisition,"Research organizations e.g Kisima farm, KALRO tigoni, ADC, Seed multipliers/ATC",For high productivity,"Bomet central-Silibwet, ATC-Bomet"
247,Bomet,Local chicken,Input supply,Feeds provision,"Farmers, agro stores, agro dealers",It ensures sustainability of the chicken flock,"On farm, Agrovet shops in the whole county"
248,Bomet,Sweet potatoes,Input supply,Extension advice,"Farmers, MoA and KALRO",For good production. Giving new information to farmers,"Demo farms, Field days"
249,Elgeyo Marakwet,Beans,Input supply,Acquisition of seeds,"Service providers, suppliers, farmers",It is the determinant of production,"Urban centres (Iten, Chepkorio, Kapsowar, Kamwosor, Chesoi, Arror Tot, Kapcherop), Household level"
250,Elgeyo Marakwet,Irish Potatoes,Input supply,Fertilizer requistion,"Suppliers, wholesalers","For increased yield production, for increased fertility,for the supply of macro and micro elements","MoALF Iten, Local agrovets"
251,Elgeyo Marakwet,Local chicken,Input supply,Housing materials,Service providers (Owner),For poultry protection and disease control,Rural homes
252,Elgeyo Marakwet,Cattle (milk),Input supply,Extension services,"Farmers, processors",Capacity building for sustainable milk production,Sub-county and ward levels
253,Isiolo,Local chicken,Input supply,Veterinary services,"Extension officers, agrovet, farmers",The activity is important in disease control and management,The activity is located in every ward but in small scale due to inadequate technical personnel
254,Isiolo,Green grams,Input supply,Field demonstration,"Extension officers, County government, farmers",The activity is important to improve productivity,The activity is located in every ward
255,Isiolo,Goat (meat),Input supply,Extension services,"Extension officers, County government, farmers",The activity is important in promoting skills and knowledge of goat production,The activity is located in every ward
256,Isiolo,Camel (milk),Input supply,Extension services,"Extension officers, County government, farmers, Retailers, processors",The activity is important in enhancing milk production,In every ward
257,Kajiado,Cattle (milk),Input supply,Provision of AI/veterinary services,"Service providers, suppliers, farmers","Disease control, Breed improvement",Country wide
258,Kajiado,Cattle (meat),Input supply,Feed Production (Forage),"Service providers, suppliers, farmers",For healthy livestock good quality feed is required,"Bisil, Kiserian, KARLO"
259,Kajiado,Tomatoes,Input supply,Financial support,"Service providers, farmers, wholesalers/retailers",Source of funds for the production process and agribusiness,"Banks in local towns- Loitoktok, Kajiado, Isinya, Kitengera, Ngong, Namanga, Rongai, Kiserian"
260,Kajiado,Goat (meat),Input supply,Extension and veterinary services,"Service providers, suppliers, farmers, wholesalers/retailers",Optimum utilization of available limited resources. Good healthy animal. Adaptation of new technologies. Management of veterinary medicine and waste. Cross-border disease management. Disease and Vector management,Majorly in urban centres
261,Kakamega,Local vegetables,Input supply,Certified seed/local,Seed companies,Key element for local vegetable production,"Local markets, Farm level, Seed companies (Kenya seed, East Africa seed company, KALRO"
262,Kakamega,Maize,Input supply,Acquisition of seed and fertilizer,"Agro dealers, farmers, government",Raw material for multiplication,"Local market, Goverment"
263,Kakamega,Dairy cow,Input supply,Sourcing of feed/fodder,"Farmers, Agrovet, Research organisation, seed companies",This is the primary input for milk production,"KALRO (Kakamega and Kitale), Farmer groups in Lugari, Likuyani and Uasin  Gishu and Trans-Nzoia"
264,Kakamega,Local chicken,Input supply,Seek information,"Farmers, Extension officers/service providers",Gives clear understanding of the project,"In the entire county (within line ministries, Internet, Brochures/fliers, field days, Exhibitions)"
265,Kericho,Local vegetables,Input supply,Organic/inorganic fertiliser(acquisition of organic fertiliser),"service providers, suppliers, farmers, processors and retailers","For growth and increase in production, nutrient replenishment, soil structure improvement, water retention capacity improvement","all HH levels(kitchen garden),value chains-poultry/dairy in ASDSP,Homaline-for commercial purposes, through out the county"
266,Kericho,Local chicken,Input supply,equipments e.g feed trough,"Service providers, suppliers, wholesalers/retailers",improvement in production efficiency,Most of the major urban centres/market centres(all subcounties and wards)
267,Kericho,Banana,Input supply,Organic manure,"Service providers, farmers","provision of nutrients to the growing bananas, its demanded in the market compared to thosse grown through use of inorganic fertilisers","reresik care(bats manure),cheplanget,ainamoi ward"
268,Kericho,Tea,Input supply,Fertilizer,"KTDA, suppliers, NCPB","because of low fertility, tea is a heavy consumer of in-organic fertiliser",Countywide
269,Kisumu,Cassava,Input supply,Extension advice,Ministry of Agriculture and NGOs,ensure good farm practice,Across the county
270,Kisumu,Local chicken,Input supply,housing is important for security and better production,"Service providers, suppliers, farmers",housing is important for security and better production,The whole county
271,Kisumu,Cowpeas,Input supply,Seeds,"Service providers, suppliers, farmers",a farmer cannot plant without planting seeds,local markets/agrovets
272,Kisumu,Sorghum,Input supply,Seed/planting material,"Service providers, suppliers, farmers, processor, wholesalers/retailers",it's the source of the value chain,within the community and shopping centres-agrovets
273,Laikipia,Indigenous chicken,Input supply,Chicken feeds,"Service providers, suppliers, farmers, processors",To ensure the chicken survival,Countywide
274,Laikipia,Cattle (milk),Input supply,Extension services,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",To enhance technology uptake by farmers to increase resilliance and productivity,Countywide
275,Laikipia,Maize,Input supply,Supply of feeds,"Suppliers, farmers, Wholesalers/Retailers",Improved productions to high yield,"Towns, some value chain groups, local agro vets"
276,Laikipia,Sheep,Input supply,Surveillance and disease control,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",To maintain health stocks,Countywide
277,Lamu,Fish,Input supply,Procurement of boat engines (15 Horse Power),Marine boat engines supplier (Captain Andys),Helps in accessing fishing grounds and not wind dependant like sails,Lamu town
278,Lamu,Cotton,Input supply,"Procure agro-chemicals e.g fertilizer, pesticides","Individual farmers, stockists, county government, PCPB, extension officers, KEPHIS",High cotton productivity and high quality product,"NCPB deport, Agrovets shops (Mpeketoni, Witu, Hindi), PCPB"
279,Lamu,Indigenous chicken,Input supply,Procurement of rearing stock,"Farmers, hatcheries (crown farm), breeder (chief mkalimani), traders",Start up stock is needed for chicken enterprise,"On farm, Markets, Hatcheries"
280,Machakos,Pigeon peas,Input supply,Procurement of Agrochemicals,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",Pegion pea is very succeptible to pests and diseases,Market centres
281,Machakos,Mango,Input supply,Pesticides (organic/inorganic) for crop protection,"Service providers, suppliers, farmers",To produce quality and quantity volumes,All the 8 sub-counties
282,Machakos,Indigenous chicken,Input supply,Supply of chicken feed,"Suppliers, farmers, Wholesalers/Retailers",To enhance productivity,Mostly in shopping centres
283,Machakos,Green grams,Input supply,Seed sourcing,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",Getting the quality seeds and timely,"KALRO Katumani, Dryland seed company, Agrovet shops"
284,Mandera,Sorghum,Input supply,Seed dressing,Men and women farmers,Seed protection against pests attack,"Takaba, Banissa, Kutulu, Fino, lafey, Shambir Fatuma, Finsharo"
285,Mandera,Tomatoes,Input supply,Seeds,"County government, NGOs, Agrovets, Farmer",Without seeds there is no production thus important,"Mandera town, Rhamu, Elwack, Takaba, Banissa, Lafey"
286,Mandera,Goat (meat),Input supply,Feeds,"Farmers, herders, livestock department, NGOs, Traders",Important in animal nutrition and health,"Rangeland (entire), Agro-pastoral zones, Fodder producers, traders"
287,Mandera,Camel (milk),Input supply,Acquisition of feed,Farmers/extension officer,"For better husbandry practices, For better growth",Free range in the whole county
288,Marsabit,Kales,Input supply,Support to extension service delivery,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",Due to inadequate knowledge and skillsnin kales production aspect,Entire county
289,Marsabit,Teff,Input supply,Extension services,"Service providers, suppliers, farmers, processors",For better production and skill on teff production,"Saku sub-county, North hoor sub-county, Moyale sub-county."
290,Marsabit,Goat (meat),Input supply,Equipment,"Farmers, processors",For keeping animals healthy,Entire county
291,Marsabit,Fish,Input supply,Capacity building,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",To provide/equip them with knowledge and skills,"Loiangalam, Illiret, Elmolo, Moile, Siricho, Marti"
292,Tharaka  Nithi,Green grams,Input supply,Provision of certified seeds,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",To increase productivity,Agro dealers within the county
293,Tharaka  Nithi,Local chicken,Input supply,Supply of feeds,"Suppliers, farmers, Wholesalers/Retailers",The feeds are of high quality for the chicks,Chuka town and local markets
294,Tharaka  Nithi,Goat (meat),Input supply,Pasture,"Suppliers, farmers, Wholesalers/Retailers",For a wealthy goat propulation to boost proctivity,Farm level
295,Tharaka  Nithi,Cattle (milk),Input supply,Provision of quality commercial feeds and mineral supplements,"Service providers, suppliers, farmers, processors, Wholesalers/retailers",Quality feeds determine milk production in cattle,"Maara sub-county, Tharaka informal scale, Chuka, Igambang'ombe"
296,Uasin Gishu,Irish Potatoes,Input supply,Seed acquisition,"Service providers, suppliers, farmers, wholesalers/retailers",Good yield,"Large scale suppliers, ADC seed production in Molo, Small scale seed farmers-own"
297,Uasin Gishu,Local chicken,Input supply,Housing,"Service providers, farmers",Protection and security,At farm level
298,Uasin Gishu,Maize,Input supply,Fertilizer,All suppliers,To increase maize production,Urban and peri-urban centres
299,Uasin Gishu,Dairy cow,Input supply,Artificial insemination/breeding,"All service providers and suppliers, farmers, processors",To improve the quality of breeds in dairy herd for increased milk production,Farms
300,Wajir,Camel (milk),Input supply,Extension service provision,"Vet and livestock production staff, NGOs, Private agrovets","Skill improvement, Technological advancement",Countywide
301,Wajir,Chicken,Input supply,Veterinary services,"Vet department, SIDAi, Wajir vet services, bimeda, Bute agrovet, NGOs",Capacity building. Disease and vector control,"Countywide (All the subcounties i.e Buna, Bute, Habaswan, Wajir west, Tarbaj, Wajir south, Wajir East)"
302,Wajir,Sorghum,Input supply,Extension advice,Department of Agriculture(extension officers),Ensure use of certified planting materials,Countywide
303,Wajir,Water melon,Input supply,Advice,Extension officers,Chose high yielding variety,Countywide
304,Bungoma,Maize,Input supply,Fertilizer requistion,"Agrodealers, farmers and transporters- men, women and youth",It directly impacts the productivity of the value chain,Agro-dealers in urban centers while farmers are in rural areas
305,Bungoma,Local chicken,Input supply,Acquiring feeds/ feeding,"Male farmers, agrodealers, manufactures- e.g ADC, BIDCO",Helps the chick grow,"Towns, market centers, and farms"
306,Bungoma,Cattle (milk),Input supply,Feed/planting material acquisition,Mostly men and women,Establishment of good pasture and fooder for dairy animals; acquistition of quality feeds,"Farms, agrovets, and research institutions"
307,Bungoma,Beans,Input supply,Certified/clean seed acquistion,"Agro-dealers , KEPHIS, Farmers, transporters, researchers",Optimum productivity and production,"Agrodealers stores (Urban or peri urban centers, farms and open markets"
308,Kiambu,Banana,Input supply,T.C banana production,"T.C. propagation labs, hardening nurseries","To access clean planting materials, to increase quality of seed, and increase production and profitability of the producer",JKUAT- Juja subcounty; Lari subcounty-hardening; and Gatundu south- hardening
309,Kiambu,Cattle (milk),Input supply,Feed supply,"Feed manufacturers, feed stockist, KEBS,raw material traders, and farmers",Good nutrition of animals linked to production of milk both in terms of quantity and quality,The whole county
310,Kiambu,Irish Potatoes,Input supply,Acquisition of inputs,"Men-70%, Youth- 25 %, and women -5%",Ensures good yields and minimum losses,Local suppliers e.g Agrovets
311,Kiambu,Local chicken,Input supply,Feeding,Men and women,sustainability and good yields,suppliers/ stores
312,Kirinyaga,Tomatoes,Input supply,Captial financing,"Banks, MFIs, group lending-table banking, own savings, friends","Financing quality farm inputs, for timeliness in acquisation of inputs","Commercial banks, SACCOs, table banking groups"
313,Kirinyaga,Local chicken,Input supply,"Equipments (feeders, waterers)","Agrovets (men, women and youth)",Husbandry practices,county wide- all subcounties
314,Kirinyaga,Avocado,Input supply,Procurement of plantin materials- seedlings,"Farmers, commercial seedling nursery operators, KEPHIS",This is the main input that will determine the ultimate product,Commercial nursery sites
315,Kirinyaga,Banana,Input supply,Extension advice,"Both government ALVF, farmer/farmer groups","capacity building on crop husbandry practices, productivity",all banana producing wards
316,Kirinyaga,Cattle (milk),Input supply,Artificial insemination/breeding,"farmers, inseminator, suppliers (liquid, nitrogen and semen)","Calfing of milk production, continuity of stock, improvement of breeds","on farms, agro shops"
317,Kisii,Banana,Input supply,produce clean planting materials,Nursery operator,To ensure high productivity,Kitutu chache south sub-county
318,Kisii,Cattle (milk),Input supply,Feed and mineral suppliments,"Agrovets outlets, farmer (bears cost)",Production enhacement and general health for efficient breeding (fertility/reproduction),Agrovets outlets in market centers and home delivery
319,Kisii,Indigenous vegetables,Input supply,Seed sourcing,"Farmers, agrovets, agricultural extension officers, and researchers",Good sourcing will determine quality and quantity of vegetables produced,"Local markets, farm level , and agrovets"
320,Kisii,Local chicken,Input supply,Feeds provision,Farmers and agro-dealers,Provision of quality and nutritious feeds; for poultry nourishment,Farms and agrovets
321,Kitui,Mangoes,Input supply,"Identification, procurement and distribution of farm inputs (e.g pest control products)",Farmers and extension service providers,To come up with the best quality and suitable farm inputs,"Farm level, research stations, agro dealers"
322,Kitui,Green grams,Input supply,Seeds,Farmer and input supplier,"For good production, certified seeds are a necessity","Agrovets, KALRO-Katumani"
323,Kitui,Local chicken,Input supply,Breeding stock,mostly women,it’s the main input,Countywide
324,Kitui,Goat,Input supply,Breeding stock(goats),head of the households and other family members,"Economic activity, investment, production and reproduction, insuarance (security/collateral), daily payment",All eight subcounties apart from urban settlement
325,Migori,Sweet potatoes,Input supply,Seeds or planting materials i.e potato vine,Both men and women,It’s a key input used in production of sweet potatoes,"In subcounties that practice sweet potatoes production, however, most planting vines are purchased from Kuria subcounty"
326,Migori,Local vegetables,Input supply,Land acquisition,Farmers,land for production,Across the county
327,Migori,Local chicken,Input supply,Supply of feeds,Agrovets and feed companies,"For production, maintenance and reproduction",Key market centers across the county
328,Migori,Goat (meat),Input supply,Feeds,"Farmers, agrovets/suppliers, extension officers",maintainance and production,County
329,Murang'a,Local chicken,Input supply,Extension,Farmer and technical officers,To have advice and sustainability of the project,From county ward extension officers; from stakeholders extension officers; Caritas
330,Murang'a,Cattle (milk),Input supply,Dairy cow,Farmer and extension officers,Production of milk,In the farms
331,Murang'a,Banana,Input supply,Acquisation and delivery,"Agrodealers, financial institutions, and farmers",For production and business,Agro-input shops and propagators (T.C labs)
332,Murang'a,Avocado,Input supply,Seed/planting material,Nursery operators- even research institutions; farmers,i) True to type ii) Clean planting materials iii) Materials with good market value iv) Resistance to pest and diseases,"KALRO Kandara, JKUAT research institute, registered private nuseries e.g Aberdare"
333,Nandi,Indigenous chicken,Input supply,Acquisation of chicks,"chick supplier agents, farmers, transporters","Quality birds , and for reliable quantity",trading centers
334,Nandi,Cattle (milk),Input supply,Extension services,"Extension officers from the department of agriculture, P.Os (coperative societies) Development partners",To improve farmers' capacity to obtain high yields. To provide information on new techniques/technologies on dairy,"Farmer field schools, individual farms, Producer organizations/cooperatives premises, media platforms (whatsapp, sms, internet)"
335,Nandi,Maize,Input supply,Acquisition of fertilizer,"Farmers, agrodealers, NCPB",Ensures high yields,"market centers, agrodealer shops, NCPB"
336,Nandi,Tea,Input supply,Tea seedling acquisation,"farmers, KTDA nurseries, Individual nurseries",Healthy seedling is key to survival and high yield,"on farm, tree nurseries"
337,Narok,Sheep (meat),Input supply,Feeds,"Farmers, suppliers, and producers",To sustain growth and productivity,All sub-counties
338,Narok,Maize,Input supply,"Acquisation of land preparation services (tractor, horse plan , jembe)","Men, youth and women- machinery owners,  service providers e.g equity bank, fellow farmers",Create condusive enviroment for seed germination and crop growth and development,"Narok town, within the county"
339,Narok,Local chicken,Input supply,Chicken feeds,Women and youth,Enhance chicken productivity,Across the county
340,Narok,Cattle (milk),Input supply,Provision of A.I services,"Farmers, input suppliers/ppp, livestock department, KAGRIC(Kenya animal genetic resource center)",For continous breed improvement hence improved production,"At farm level, county wide"
341,Nyamira,Local chicken,Input supply,Chick sourcing,Farmer and hatchery,To start the enterprice,Large farms/hatcheries
342,Nyamira,Local vegetables,Input supply,Acquisition of fertilizer (organic and inorganic),"Farmers, agrovets, technical personnel, transporters","For proper productivity and timeliness, to increase soil fertility",Local markets and towns and in the community all over the county
343,Nyamira,Cattle (milk),Input supply,Dairy cow housing,"Farmers, extension provider, artisan , construction material suppliers",security and disease control,all over the county
344,Nyamira,Banana,Input supply,Sourcing of manure and fertilizers,"farmers(including Lakatocko farmer), agrodealers",To enhance/ increase crop production; Manure (O.M) improves soil structure soil amendment,"Agro-vet in major towns (e.g Nyamira, Keroka) in the subcounties, dairy poultry farms- ranches e.g from Narok county, slaughter houses e.g keroka"
345,Samburu,Local chicken,Input supply,Vet services,department of livestock (vetrinary section),"Provision of technical expertise, controls and management of pest and diseases",subcounty headquarters
346,Samburu,Cattle (meat),Input supply,Vet services,"Vet-department, farmers",To reduce the impact of diseases,Countywide
347,Samburu,Apiculture,Input supply,Installation /setting up beehives,men and youth,its important for succesful setting up of the enterprice,at the selected apiary
348,Samburu,Shoats,Input supply,Provision of veterinary services,"Agrovets, veterinary officers, farmers","prevention of diseases, improve animal health, improve productivity","market centers, urban centers, communial vaccination sites (crutches)"
349,Transnzoia,Maize,Input supply,Land acquisition,"Farmer, leasor",It’s a key factor of production,Farm level
350,Transnzoia,Indigenous chicken,Input supply,Feed formulation or purchase of feeds and feeding,"Men, women and youth",Quality of feed is important for optimum growth and chicken nutrition,"Farm-level in all sub-counties, agrovets in urban and rural market centers"
351,Transnzoia,Cattle (milk),Input supply,Feeds,"Millers, farmers and agrovets",To provide balanced diet or rations to dairy cows,"Milling companies, ADC, agrovets, and farms"
352,Transnzoia,Beans,Input supply,Acquisition/ Purchase of seeds,"Adult men and women, agrovet owners, seed companies, and farmer to farmer",It is the key input for beans production,urban and rural agrovets
353,Turkana,Sorghum,Input supply,Equipment and tools,"NGOs, Governement, and Farmers",Tools and equipment help in farm activities,Irrigation schemes and rain fed farms county wide
354,Turkana,Shoats,Input supply,Feed,Community,Animals are dependant on feeds,All of Turkana county
355,Turkana,Local poultry,Input supply,Veterinary services,Veterinary officers,Pest and disease control,At household level
356,Turkana,Fisheries,Input supply,Extension services,"Input suppliers, Service providers- KMA department of fisheries, KMFRI",Build up input suppliers for better delivery of services,Kalokol and Kang'otosa wards
357,Vihiga,Indigenous chicken,Input supply,Feed acquisation,"farmers, agrovet /suppliers, transporters",in prepartion for feeding,"Market centers, on farm, agrovets"
358,Vihiga,Cattle (milk),Input supply,Feed acquisation,"farmer, stockist",for growth / well being of the cow in order to  increase production,"farm level, agrovet, stockist"
359,Vihiga,Banana,Input supply,Acquisation of planting material (banana),"farmers, extension officers, researchers",without the acquisation one cannot have the end product,"on farms, tissue culture nurseries e.g KALRO, private nurseries in Nakuru and Kisii, demonstration farms"
360,Vihiga,African indigenous vegetables,Input supply,Acquisition of fertilizer (organic and inorganic),"suppliers (merchants), farmers, agrodealers, service provider","improve production and productivity, to maintain and impove soil fertility","Market centers, on farm, agrovets"
361,Busia,Cassava,Input supply,Labour,Household labor and hired labor,"cassava crop is labor intensive and activities carried out at the right time,delaying-affects the yield",across busia county
362,Busia,Local Poultry (meat),Input supply,acquiring feeds,"farmers,stockists/agrovets",to feed birds for production and reproduction,evenly spread in the county by farmers rearing commercial birds
363,Busia,Maize,Input supply,Labour,machinery,it is a source of income,countrywide at farm level
364,Busia,Sorghum,Input supply,Manure and fertiliser,"farmers,agrovets and the county government","to improve yields per acre,help consumer,enhance plant management,build up soil structures and orgnic matter",Busia ATC
365,Nyeri,Banana,Input supply,production inputs(manure /fertiliser),"agro dealers,farmers,cooperatives,research institutions and universities","increased production,improved soil fertility,improved quality and quantity",both within and outside the county
366,Nyeri,Dairy cow,Input supply,"drugs,vaccines and vet services","county government,department of vet services,KEVEVARI,Private srvice providers","to control pests and diseases,enhance productivity,maintain a healthy dairy herd","county government-sub county/ward level,KEVEVARI,Pivate service providers-at sub county /ward levels"
367,Nyeri,Irish Potatoes,Input supply,seeds,"kisima farmers,Molo in Naivasha",seed affect the quality and quantity,
368,Nyeri,Local poultry,Input supply,feed quality,"farmers,suppliers/agrovets","healthy growth,maintenance requirements",Locally
369,Makueni,Dairy cow,Input supply,extension services and advisory,"both public and private extension service providers-county government,stockists and local NGOs","it improves farmer skills,knowledge on dairy farming",Countywide
370,Makueni,Green grams,Input supply,Acquisition of pesticides,"farmers,stockists,importers","protects against pests infestation to crop,thus enhanced higher yields",stockists in local markets are available
371,Makueni,Local poultry,Input supply,Fedds and Drugs,"farmers and service providers,agro dealers",increase production for quality birds,Countywide
372,Makueni,Mango,Input supply,Land,Farmers,for farming business,across the county in each household
373,Nakuru,Dairy cow,Input supply,"veterinary services,disease control","agrovet,veterinary services,farmers,veterinary investigation labor,kenya veterinary vaccine product, kenya veterinary option",for the producing purpose,"trading centres in the county,wards, sub county, county,private sector all over the county"
374,Nakuru,Irish Potatoes,Input supply,Extension services,"service providers(public,private), researchers,public extension services, NGOs chemical companies","information dissemination,capacity building,monitoring and evaluation,increase productivity,feedback, problem identification","farm site, sub county extension officers"
375,Nakuru,Local poultry,Input supply,chicken sourcing,women,to get the best breeding stock,Karlo naivasha
376,Nakuru,Maize,Input supply,equipments,man,large scale suppliers in the county medium/small in sub county,"large scale farmers get equipment from dealers in the county, medium and small scale get equipment from distributor at sub county level"
377,Taita Taveta,Banana,Input supply,Labour,"assist in the farm labor,field management,irrigation(watering)","assist in farm labor,field management,irrigation",the entire county
378,Taita Taveta,Dairy cow,Input supply,Veterinary services,"for the health of the animals and prevention of disease outbreaksfarmers,extension officers",for the health of the animals and prevention of disease outbreaks,Entire county
379,Taita Taveta,Maize,Input supply,"acquisition of fertiliser,manure and chemicals",farmers and extension officers and agrovet dealers,"promote productivity,control pests and diseases,timelines for application",agro dealers outlets
380,Taita Taveta,Goat (meat),Input supply,linking with the extension staff,"consultants,livestock department",to ensure effectiveness and lerning and emmerging technologies and skills,Entire county
381,Siaya,Beans,Input supply,Labour,"farmers,hired hands,technical support/service providers",its a factor of production,"At farm level, throughout the county"
382,Siaya,Sorghum,Input supply,Labour,Farmers,for utilisation of land and planting material,entire siaya county
383,Siaya,Maize,Input supply,Labour,farmers/hired labor,makor factor of production,farms
384,Siaya,Local poultry,Input supply,Vet services,"Agrovets,farmers,animal health service providers",everywhere poultry is kept,"homestead,private vets,government vets,sub counties"
385,Embu,Banana,Input supply,Labour,farmers/on farm labor,in order to under take the required agronomic/husbandry practices,in the farmers farms
386,Embu,Beans,Input supply,Agro chemicals,"local stockists,farmers,casual laborers,agriculture extension workers","control of damaging pests like aphids,bean rust, bean fly","in the farms, stockists in the market centres"
387,Embu,Dairy cow,Input supply,"cow health( dewormers,treatment and vaccines)","farmers,vet and livestock,extension officers","to increase productivity,to avoid losses through death","at farmland,market centres"
388,Embu,Maize,Input supply,Manure and fertiliser,farmers and supply,to provide necessary nutrients and also increase productivity,"NCPB and AGRO-shops in the local markets,manure from farmers own farms and locality"
389,Nyandarua,Dairy cow,Input supply,Capital,"farmers(producers), financial institutions",its important for the value chains development,financial institutions in urban areas
390,Nyandarua,Irish Potatoes,Input supply,crop protection-pesticides,farmers-males(adults and youths,to reduce losses from diseases and pests,"At farm level, throughout the county"
391,Nyandarua,Local chicken,Input supply,sourcing for chicks/chicken,"family members,service providers and agents e.g kenchic",its the raw materials for the activity of poultry,local farms and for agents-across the county
392,Nyandarua,Peas,Input supply,land preparation labor,farmers-both genders and laborers,to provide condusive environment went for placement of seeds,everywhere in the farms
393,Meru,Banana,Input supply,planting material(suckers),"farmers,nursery owners,JKUAT,KARLO",for establishing the orchards,"farmers in meru county,embu,juja,thika,kariene,kitheo"
394,Meru,Dairy cow,Input supply,animal feeds,"man power,skills,efficiency,productivity and profitability",farm and farmers organizations,"farm level,shopping centres,feeds factories"
395,Meru,Maize,Input supply,fertiliser and agro chemicals,"agro chemical companies,GoK institutions,agro chemical merchants,NGOs and private companies","improve soil fertility,improve yields,control pests and diseases/weeds","urban and rural centres-meru town,nkubu,mikinduri,maua,timau,kiirua"
396,Meru,Irish Potatoes,Input supply,fertiliser supply(organic and inorganic),"GoK subsidized fertiliser,private stockists,on farm manure","provision of crop nutrition through enhancing soil fertility,restoring of key nutrients in the soil","buuri subcounty,meru central sub county"
397,Garissa,Milk (Cattle/Goats),Input supply,"extension- advisory services on production, marketing and early warning and preparedeness","livestock extension personel, NGOs and iNGOS, tresearch institutions.","disseminate technologies and practices, give technical information on production, formulation and design of projects, policy regulation, facilitate extension services, investigation and development of extension packages.",Countywide
398,Garissa,Meat,Input supply,breed improvements,"livestock owner, researchers and extension officers, private service providers.","improved productivity, increased disease resistance and adaptation of climateic attack.",Countywide
399,Garissa,Fruits and Vegetables,Input supply,extension advice and information,"Government departments in agriculture, NGOs, private service providers, contact farm",very important,"farm level, government offices, Garissa"
400,Garissa,Cereals,Input supply,Extension services,"county governments, NGOs, private service providers","agents for technology transfers, extension to farmer ratio is low.",
